epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.5895,1.02679,0.90141,1.20256,0.80067,0.77987,0.81452,0.47891,1.37205,0.94594,1.56273,0.00018396,0.00018396,0.00018396
2,53.8684,1.07306,0.85004,1.21318,0.80174,0.75941,0.79918,0.457,1.40785,0.95372,1.5459,0.000361982,0.000361982,0.000361982
3,77.2835,1.10527,0.88088,1.22152,0.82345,0.74536,0.79384,0.46442,1.40846,0.96933,1.5496,0.000532664,0.000532664,0.000532664
4,100.625,1.10317,0.87883,1.22973,0.82911,0.75207,0.81445,0.478,1.42112,0.96506,1.54733,0.000522974,0.000522974,0.000522974
5,124.067,1.12003,0.87732,1.2252,0.81783,0.73574,0.79359,0.45496,1.46176,1.04796,1.5804,0.000511965,0.000511965,0.000511965
6,147.602,1.11368,0.8636,1.21568,0.8263,0.73913,0.79778,0.45961,1.43623,0.99857,1.55682,0.000500956,0.000500956,0.000500956
7,170.98,1.1115,0.84863,1.22008,0.81362,0.73188,0.78077,0.44469,1.43958,1.00744,1.56381,0.000489947,0.000489947,0.000489947
8,194.588,1.12451,0.8554,1.23056,0.77926,0.74522,0.77745,0.44045,1.45241,0.95213,1.55135,0.000478938,0.000478938,0.000478938
9,218.065,1.10836,0.83161,1.21271,0.85942,0.7359,0.79602,0.46207,1.43705,1.0071,1.55239,0.00046793,0.00046793,0.00046793
10,241.469,1.08639,0.82871,1.19865,0.79304,0.74645,0.79321,0.45097,1.44878,0.96659,1.57151,0.000456921,0.000456921,0.000456921
11,265.283,1.09471,0.8387,1.22187,0.80692,0.75709,0.8037,0.463,1.42528,0.95865,1.55332,0.000445912,0.000445912,0.000445912
12,288.671,1.07618,0.80808,1.20134,0.82729,0.72857,0.7969,0.46012,1.44642,0.94379,1.55853,0.000434903,0.000434903,0.000434903
13,312.009,1.07332,0.79117,1.19104,0.82187,0.7369,0.79448,0.45314,1.42955,0.96987,1.53778,0.000423894,0.000423894,0.000423894
14,335.312,1.05684,0.77987,1.18598,0.80424,0.75873,0.8045,0.46018,1.41427,0.97142,1.53718,0.000412886,0.000412886,0.000412886
15,358.972,1.0752,0.7853,1.19057,0.81553,0.77047,0.80123,0.4579,1.4142,0.9335,1.53357,0.000401877,0.000401877,0.000401877
16,381.866,1.06418,0.78047,1.18675,0.80731,0.73143,0.7863,0.45852,1.41476,0.98698,1.53591,0.000390868,0.000390868,0.000390868
17,405.474,1.05847,0.77132,1.18136,0.87559,0.75244,0.8176,0.4779,1.40232,0.90999,1.53761,0.000379859,0.000379859,0.000379859
18,428.952,1.0525,0.7747,1.1906,0.8549,0.75372,0.80908,0.47164,1.41136,0.95872,1.56599,0.00036885,0.00036885,0.00036885
19,452.594,1.04375,0.74575,1.17433,0.84745,0.75423,0.80344,0.47405,1.41244,0.93507,1.54631,0.000357842,0.000357842,0.000357842
20,475.199,1.03327,0.73696,1.16921,0.85865,0.73978,0.80999,0.47009,1.42393,0.94412,1.56705,0.000346833,0.000346833,0.000346833
21,496.57,1.02262,0.72464,1.15921,0.85447,0.7503,0.8089,0.4758,1.40053,0.95042,1.53862,0.000335824,0.000335824,0.000335824
22,517.866,1.01735,0.73607,1.16036,0.84679,0.75615,0.82026,0.47776,1.38362,0.92515,1.52933,0.000324815,0.000324815,0.000324815
23,539.143,1.01012,0.72271,1.15828,0.83519,0.7557,0.80658,0.47201,1.39488,0.9309,1.53749,0.000313806,0.000313806,0.000313806
24,560.509,1.00074,0.70885,1.14836,0.86015,0.75647,0.81836,0.47605,1.39709,0.93294,1.53876,0.000302798,0.000302798,0.000302798
25,581.819,1.00457,0.72359,1.155,0.83773,0.76422,0.81683,0.47857,1.39619,0.8872,1.55517,0.000291789,0.000291789,0.000291789
26,603.085,0.99483,0.70678,1.14916,0.82555,0.77953,0.80841,0.47674,1.38652,0.90586,1.52898,0.00028078,0.00028078,0.00028078
27,624.583,0.99684,0.69631,1.15449,0.85096,0.76343,0.8154,0.47712,1.38666,0.88643,1.52845,0.000269771,0.000269771,0.000269771
28,645.933,0.97385,0.67607,1.13175,0.8432,0.77028,0.81404,0.47705,1.3957,0.92166,1.5358,0.000258762,0.000258762,0.000258762
29,667.252,0.97945,0.68232,1.13765,0.83353,0.79236,0.82564,0.48968,1.37902,0.89215,1.5241,0.000247754,0.000247754,0.000247754
30,689.76,0.96347,0.66512,1.12013,0.8697,0.75834,0.81997,0.4883,1.39321,0.93692,1.54892,0.000236745,0.000236745,0.000236745
31,711.091,0.95943,0.66301,1.13028,0.85338,0.77658,0.82353,0.4867,1.38409,0.91439,1.5316,0.000225736,0.000225736,0.000225736
32,732.513,0.95027,0.65089,1.12089,0.84898,0.76205,0.81806,0.48456,1.37781,0.90454,1.52407,0.000214727,0.000214727,0.000214727
33,753.896,0.95118,0.64351,1.12357,0.8388,0.7901,0.82591,0.49102,1.36631,0.88626,1.52331,0.000203718,0.000203718,0.000203718
34,775.434,0.95238,0.64414,1.11581,0.87614,0.75508,0.81537,0.48439,1.37909,0.90261,1.54384,0.00019271,0.00019271,0.00019271
35,796.775,0.93805,0.63672,1.11513,0.85004,0.76487,0.82268,0.4891,1.3826,0.88913,1.54422,0.000181701,0.000181701,0.000181701
36,818.003,0.92404,0.62211,1.10394,0.85933,0.77714,0.83072,0.48852,1.37364,0.88278,1.52663,0.000170692,0.000170692,0.000170692
37,839.277,0.92901,0.62098,1.10653,0.8867,0.7608,0.82423,0.49211,1.37343,0.89667,1.51387,0.000159683,0.000159683,0.000159683
