epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.62723,0.78491,0.83972,1.18724,0.88118,0.68717,0.75167,0.45601,1.3519,1.06601,1.6713,5.004e-05,5.004e-05,5.004e-05
2,5.98069,0.93586,0.86161,1.20381,0.85485,0.68864,0.73909,0.43741,1.38127,1.08337,1.69958,0.000103548,0.000103548,0.000103548
3,8.93863,0.89922,0.82655,1.18692,0.81696,0.70765,0.73832,0.43775,1.37536,1.08573,1.71166,0.000154855,0.000154855,0.000154855
4,11.2626,0.86591,0.82736,1.17324,0.77148,0.70764,0.72972,0.41685,1.39696,1.0793,1.74084,0.00020396,0.00020396,0.00020396
5,13.4052,0.87698,0.82092,1.17877,0.77483,0.67532,0.71929,0.41234,1.41557,1.13006,1.74141,0.000250863,0.000250863,0.000250863
6,15.711,0.90712,0.87261,1.20532,0.72446,0.69625,0.72352,0.41545,1.4276,1.13149,1.76277,0.000295564,0.000295564,0.000295564
7,17.8319,0.94289,0.81057,1.17989,0.83269,0.65772,0.71904,0.41891,1.42873,1.1343,1.77521,0.000338064,0.000338064,0.000338064
8,19.8839,0.94123,0.84749,1.21759,0.83745,0.69042,0.72856,0.41552,1.47466,1.13819,1.81127,0.000378361,0.000378361,0.000378361
9,21.9184,0.92379,0.84225,1.19801,0.74862,0.70782,0.71591,0.41219,1.46341,1.19535,1.81155,0.000416457,0.000416457,0.000416457
10,23.9494,0.97945,0.85059,1.22998,0.74928,0.70427,0.72237,0.4012,1.45431,1.17932,1.83584,0.000452352,0.000452352,0.000452352
11,25.9478,0.92054,0.84721,1.19245,0.75667,0.70083,0.72231,0.40799,1.46589,1.15883,1.85958,0.000445912,0.000445912,0.000445912
12,28.0017,0.95553,0.85467,1.22933,0.71234,0.71513,0.72691,0.41285,1.48882,1.21628,1.88215,0.000434903,0.000434903,0.000434903
13,30.0982,0.98633,0.84954,1.21205,0.83585,0.69017,0.73619,0.41948,1.46855,1.18954,1.8415,0.000423894,0.000423894,0.000423894
