epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.069,0.9601,0.83913,1.19943,0.81365,0.71542,0.7657,0.44734,1.39666,1.25474,1.6672,0.000180921,0.000180921,0.000180921
2,21.4467,0.98275,0.81997,1.21028,0.77233,0.69023,0.73756,0.43054,1.42044,1.29484,1.70902,0.000359002,0.000359002,0.000359002
3,29.3705,0.99786,0.82682,1.20987,0.72106,0.71151,0.73482,0.41558,1.4593,1.33652,1.71359,0.000529744,0.000529744,0.000529744
4,37.2341,1.00585,0.8045,1.20544,0.78797,0.66324,0.71927,0.41074,1.45155,1.38309,1.67968,0.000522974,0.000522974,0.000522974
5,45.0796,1.01978,0.8193,1.21351,0.83519,0.66928,0.74679,0.41599,1.4676,1.32432,1.67565,0.000511965,0.000511965,0.000511965
6,52.9024,1.01036,0.82248,1.21755,0.81348,0.67293,0.7349,0.42465,1.4428,1.33082,1.66232,0.000500956,0.000500956,0.000500956
7,60.757,0.99927,0.80142,1.20006,0.7912,0.68033,0.73667,0.41464,1.47427,1.3012,1.68067,0.000489947,0.000489947,0.000489947
8,68.6038,0.98583,0.79751,1.19562,0.80349,0.66466,0.74101,0.42197,1.44243,1.27334,1.68476,0.000478938,0.000478938,0.000478938
9,76.6025,0.9971,0.78828,1.19291,0.76451,0.65841,0.71006,0.4067,1.4391,1.40462,1.65664,0.00046793,0.00046793,0.00046793
10,84.4503,0.97595,0.79113,1.20536,0.76666,0.65604,0.72432,0.41426,1.45542,1.47854,1.68197,0.000456921,0.000456921,0.000456921
11,92.321,0.96364,0.75918,1.17988,0.78907,0.66124,0.73071,0.4114,1.48071,1.49216,1.71682,0.000445912,0.000445912,0.000445912
12,100.156,0.9729,0.78937,1.18186,0.84204,0.67441,0.7596,0.43881,1.43665,1.3362,1.66932,0.000434903,0.000434903,0.000434903
13,108.086,0.99693,0.74499,1.18539,0.7979,0.66777,0.74837,0.42138,1.48344,1.45068,1.71037,0.000423894,0.000423894,0.000423894
14,115.946,0.94546,0.72128,1.17522,0.86792,0.65372,0.76198,0.43812,1.40195,1.32024,1.63742,0.000412886,0.000412886,0.000412886
15,123.845,0.95359,0.72055,1.17232,0.76264,0.70087,0.76043,0.43875,1.41512,1.27471,1.66185,0.000401877,0.000401877,0.000401877
16,131.705,0.92827,0.71087,1.15507,0.82477,0.68161,0.75556,0.43676,1.43228,1.32043,1.65943,0.000390868,0.000390868,0.000390868
17,139.578,0.91748,0.69605,1.16048,0.81338,0.69971,0.7581,0.43158,1.44803,1.35583,1.6888,0.000379859,0.000379859,0.000379859
18,147.618,0.93451,0.70809,1.17015,0.83841,0.69672,0.75016,0.4334,1.42328,1.28037,1.65224,0.00036885,0.00036885,0.00036885
19,155.506,0.91857,0.69254,1.15334,0.83912,0.70561,0.77707,0.45226,1.42328,1.23186,1.66831,0.000357842,0.000357842,0.000357842
20,163.447,0.92606,0.67665,1.14256,0.82056,0.73564,0.78494,0.45073,1.42103,1.2414,1.66261,0.000346833,0.000346833,0.000346833
21,171.358,0.90302,0.65449,1.14009,0.82766,0.69723,0.77058,0.44344,1.4135,1.31698,1.65996,0.000335824,0.000335824,0.000335824
22,179.228,0.86047,0.65386,1.11959,0.84411,0.68105,0.76488,0.44256,1.3984,1.26591,1.65131,0.000324815,0.000324815,0.000324815
23,187.247,0.86879,0.65692,1.1407,0.80789,0.69593,0.75193,0.44151,1.43118,1.26806,1.70935,0.000313806,0.000313806,0.000313806
24,195.73,0.87226,0.6393,1.12808,0.84081,0.68743,0.76798,0.44866,1.42213,1.22831,1.70614,0.000302798,0.000302798,0.000302798
25,206.675,0.87206,0.64125,1.13311,0.85628,0.70355,0.77441,0.45875,1.40574,1.23112,1.67782,0.000291789,0.000291789,0.000291789
26,215.522,0.87867,0.65683,1.12986,0.80947,0.72036,0.76135,0.43847,1.44354,1.2885,1.71641,0.00028078,0.00028078,0.00028078
27,224.167,0.87823,0.62997,1.11786,0.82867,0.69774,0.77519,0.45174,1.4239,1.25509,1.66856,0.000269771,0.000269771,0.000269771
28,232.729,0.85729,0.61969,1.11277,0.87598,0.70007,0.79451,0.46503,1.40185,1.21305,1.67909,0.000258762,0.000258762,0.000258762
29,241.092,0.84683,0.61638,1.11482,0.86484,0.72172,0.80713,0.46263,1.40438,1.15719,1.67239,0.000247754,0.000247754,0.000247754
30,249.377,0.85412,0.61122,1.11425,0.85892,0.70727,0.78925,0.45623,1.39976,1.28462,1.66292,0.000236745,0.000236745,0.000236745
31,257.626,0.86293,0.62338,1.11724,0.83302,0.72456,0.78893,0.4638,1.38267,1.18608,1.6603,0.000225736,0.000225736,0.000225736
32,265.689,0.83936,0.60224,1.10817,0.87182,0.71546,0.80017,0.46699,1.37707,1.18354,1.64902,0.000214727,0.000214727,0.000214727
33,273.806,0.81403,0.60433,1.09506,0.83642,0.73768,0.79595,0.46462,1.39962,1.22384,1.65866,0.000203718,0.000203718,0.000203718
34,281.883,0.83939,0.59249,1.10843,0.87864,0.71547,0.80341,0.46865,1.38977,1.22991,1.6585,0.00019271,0.00019271,0.00019271
35,290.127,0.79627,0.58121,1.09834,0.86584,0.73562,0.80827,0.46575,1.38157,1.20104,1.64333,0.000181701,0.000181701,0.000181701
36,298.389,0.80645,0.57417,1.08207,0.87491,0.73199,0.80674,0.47353,1.36579,1.17418,1.62053,0.000170692,0.000170692,0.000170692
37,306.851,0.83701,0.59005,1.10935,0.87138,0.72801,0.80095,0.47497,1.38066,1.17485,1.66443,0.000159683,0.000159683,0.000159683
38,315.302,0.81515,0.59054,1.08872,0.86231,0.73597,0.80197,0.47758,1.36511,1.17136,1.65496,0.000148674,0.000148674,0.000148674
39,324.377,0.80376,0.56546,1.08743,0.85663,0.75078,0.79889,0.47094,1.36453,1.20471,1.6453,0.000137666,0.000137666,0.000137666
40,332.595,0.79999,0.57827,1.08686,0.86466,0.7475,0.8044,0.47174,1.37557,1.17882,1.66839,0.000126657,0.000126657,0.000126657
41,384.359,0.75171,0.49082,1.06202,0.85697,0.70976,0.78976,0.46071,1.39766,1.22642,1.69046,0.000115648,0.000115648,0.000115648
42,392.301,0.74237,0.47443,1.06952,0.84675,0.75797,0.80251,0.46928,1.39232,1.20782,1.67747,0.000104639,0.000104639,0.000104639
43,400.364,0.74341,0.47293,1.06084,0.85375,0.75436,0.80593,0.46896,1.39298,1.18149,1.67893,9.36304e-05,9.36304e-05,9.36304e-05
44,408.243,0.72563,0.45564,1.0483,0.83062,0.76597,0.80867,0.46969,1.39228,1.20443,1.67623,8.26216e-05,8.26216e-05,8.26216e-05
45,416.128,0.72274,0.44875,1.02868,0.85249,0.75023,0.81066,0.47619,1.37141,1.17967,1.65578,7.16128e-05,7.16128e-05,7.16128e-05
46,424.045,0.71361,0.45061,1.03468,0.87218,0.73919,0.81269,0.47841,1.3687,1.16759,1.6574,6.0604e-05,6.0604e-05,6.0604e-05
47,432.046,0.70855,0.43965,1.03338,0.87805,0.73829,0.8067,0.47904,1.37094,1.18725,1.65977,4.95952e-05,4.95952e-05,4.95952e-05
48,440.096,0.68694,0.43687,1.02214,0.87662,0.73812,0.80793,0.47836,1.36646,1.16392,1.65689,3.85864e-05,3.85864e-05,3.85864e-05
49,448.036,0.69457,0.43594,1.02925,0.86649,0.74783,0.80944,0.47956,1.36407,1.17235,1.65859,2.75776e-05,2.75776e-05,2.75776e-05
50,456.042,0.69645,0.43303,1.01312,0.85935,0.75319,0.80818,0.48002,1.36343,1.17433,1.66231,1.65688e-05,1.65688e-05,1.65688e-05
