epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.90348,0.75216,0.81668,1.17342,0.84551,0.69247,0.7519,0.45755,1.35319,1.06293,1.68544,5.004e-05,5.004e-05,5.004e-05
2,6.24272,0.93642,0.86238,1.20135,0.82318,0.69001,0.74269,0.43491,1.40011,1.0828,1.71865,0.000103548,0.000103548,0.000103548
3,8.52359,0.89788,0.82399,1.18374,0.81027,0.70575,0.73684,0.43622,1.37728,1.06234,1.71615,0.000154855,0.000154855,0.000154855
4,10.9331,0.87196,0.83179,1.17618,0.76828,0.7017,0.73504,0.41746,1.37337,1.09762,1.71632,0.00020396,0.00020396,0.00020396
5,13.1401,0.8879,0.81556,1.18711,0.78545,0.68553,0.72154,0.40903,1.40453,1.11233,1.74617,0.000250863,0.000250863,0.000250863
6,15.3311,0.91079,0.87265,1.20458,0.73383,0.69583,0.71626,0.40338,1.43707,1.12575,1.77047,0.000295564,0.000295564,0.000295564
7,17.5171,0.93985,0.82057,1.17812,0.69201,0.69444,0.71509,0.40807,1.43521,1.13405,1.7588,0.000338064,0.000338064,0.000338064
8,19.7306,0.94714,0.87409,1.21367,0.83154,0.67694,0.73178,0.42697,1.44578,1.10943,1.77194,0.000378361,0.000378361,0.000378361
9,21.787,0.92189,0.85762,1.20255,0.74637,0.71281,0.72173,0.40969,1.45662,1.16976,1.81251,0.000416457,0.000416457,0.000416457
10,23.9241,0.98782,0.86159,1.2319,0.77433,0.69554,0.71999,0.40771,1.41958,1.15394,1.79273,0.000452352,0.000452352,0.000452352
11,25.9312,0.92791,0.86738,1.19529,0.77416,0.71134,0.72381,0.40558,1.40683,1.18374,1.81212,0.000445912,0.000445912,0.000445912
12,28.237,0.96412,0.85822,1.23659,0.76882,0.68347,0.72826,0.40521,1.44318,1.21224,1.8499,0.000434903,0.000434903,0.000434903
13,30.399,0.97911,0.85687,1.21055,0.83496,0.66146,0.73282,0.4167,1.43141,1.19938,1.81725,0.000423894,0.000423894,0.000423894
14,32.5331,0.92723,0.81485,1.18946,0.81133,0.71255,0.74881,0.42066,1.45533,1.15754,1.78135,0.000412886,0.000412886,0.000412886
15,34.5921,0.95227,0.86198,1.23154,0.7874,0.71032,0.74628,0.42263,1.45955,1.17978,1.79013,0.000401877,0.000401877,0.000401877
16,36.6635,0.99462,0.84743,1.20462,0.82175,0.71178,0.74929,0.42609,1.46373,1.13651,1.84474,0.000390868,0.000390868,0.000390868
17,38.7424,0.96711,0.87391,1.21601,0.82567,0.70722,0.74214,0.43475,1.42125,1.14126,1.76878,0.000379859,0.000379859,0.000379859
18,40.8571,0.99409,0.84436,1.20381,0.79358,0.6967,0.72734,0.42552,1.42175,1.13833,1.74156,0.00036885,0.00036885,0.00036885
19,42.9076,0.91386,0.82421,1.19422,0.83099,0.66017,0.72102,0.419,1.41829,1.14169,1.76211,0.000357842,0.000357842,0.000357842
20,45.0181,0.96086,0.83104,1.19917,0.81652,0.70171,0.73774,0.42855,1.40026,1.10451,1.75627,0.000346833,0.000346833,0.000346833
21,47.0876,0.95661,0.84435,1.24179,0.84354,0.69151,0.74244,0.43141,1.4065,1.11374,1.75112,0.000335824,0.000335824,0.000335824
22,49.1636,0.92112,0.81442,1.20208,0.79994,0.71212,0.73009,0.42404,1.40444,1.11449,1.74039,0.000324815,0.000324815,0.000324815
23,51.3938,0.92199,0.82893,1.2125,0.77422,0.71886,0.72683,0.42504,1.38144,1.12146,1.72273,0.000313806,0.000313806,0.000313806
24,53.584,0.94759,0.79825,1.21045,0.79345,0.71038,0.72252,0.41903,1.37597,1.12894,1.71888,0.000302798,0.000302798,0.000302798
25,55.6888,0.92037,0.81398,1.24086,0.80107,0.71655,0.72568,0.42089,1.39144,1.11458,1.73044,0.000291789,0.000291789,0.000291789
26,57.6768,0.92282,0.78716,1.19548,0.81677,0.71117,0.74002,0.4409,1.39645,1.13036,1.73701,0.00028078,0.00028078,0.00028078
27,59.6798,0.90149,0.80877,1.22699,0.78827,0.71197,0.73871,0.43949,1.40024,1.09878,1.7415,0.000269771,0.000269771,0.000269771
28,61.7633,0.92665,0.79417,1.18759,0.80417,0.72138,0.74497,0.45211,1.40819,1.07055,1.74552,0.000258762,0.000258762,0.000258762
29,63.7234,0.90012,0.7616,1.16292,0.82234,0.72235,0.74975,0.45085,1.39966,1.07991,1.73458,0.000247754,0.000247754,0.000247754
30,65.8432,0.87532,0.76682,1.14629,0.79292,0.71347,0.74376,0.45202,1.36207,1.06038,1.70213,0.000236745,0.000236745,0.000236745
31,67.912,0.91911,0.79749,1.19284,0.82731,0.6969,0.74407,0.44638,1.36055,1.06148,1.70664,0.000225736,0.000225736,0.000225736
32,69.9347,0.9497,0.78898,1.20838,0.83548,0.71676,0.75436,0.44867,1.35894,1.05352,1.7076,0.000214727,0.000214727,0.000214727
33,71.9455,0.91552,0.79605,1.19173,0.88017,0.69914,0.75508,0.44493,1.35686,1.04331,1.70814,0.000203718,0.000203718,0.000203718
34,73.9769,0.88517,0.75534,1.1568,0.80643,0.7135,0.745,0.4395,1.36923,1.04022,1.71106,0.00019271,0.00019271,0.00019271
35,76.013,0.92288,0.769,1.19206,0.81697,0.72493,0.74521,0.43856,1.3646,1.03101,1.71417,0.000181701,0.000181701,0.000181701
36,77.9828,0.94397,0.78043,1.22021,0.80813,0.72942,0.74746,0.43954,1.35563,1.03541,1.71217,0.000170692,0.000170692,0.000170692
