epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.2716,0.89963,0.8186,1.19587,0.81142,0.67779,0.74591,0.42494,1.43069,1.3868,1.6897,0.000180456,0.000180456,0.000180456
2,17.7568,0.93015,0.78923,1.19824,0.82818,0.66502,0.73263,0.41579,1.45606,1.39781,1.71866,0.000358547,0.000358547,0.000358547
3,25.0159,0.95585,0.80549,1.18817,0.79951,0.63645,0.71857,0.40669,1.4238,1.39013,1.67913,0.000529298,0.000529298,0.000529298
4,32.2,0.97607,0.83838,1.21783,0.76154,0.63433,0.72473,0.40699,1.43387,1.40704,1.67113,0.000522974,0.000522974,0.000522974
5,39.4449,0.99998,0.86111,1.22427,0.78373,0.63973,0.7152,0.40095,1.48149,1.48875,1.73631,0.000511965,0.000511965,0.000511965
6,46.6585,1.02785,0.85808,1.24116,0.81594,0.63543,0.71066,0.40431,1.50452,1.56686,1.7888,0.000500956,0.000500956,0.000500956
7,53.9079,1.02056,0.8565,1.25503,0.78598,0.61814,0.70489,0.39751,1.48245,1.6077,1.7051,0.000489947,0.000489947,0.000489947
8,61.1446,0.98063,0.82558,1.20847,0.81904,0.62953,0.71229,0.39846,1.4704,1.41063,1.68206,0.000478938,0.000478938,0.000478938
9,68.3538,1.00109,0.84571,1.24446,0.78,0.63943,0.73208,0.41797,1.42034,1.37161,1.66756,0.00046793,0.00046793,0.00046793
10,75.6749,0.99234,0.81943,1.22049,0.78948,0.67471,0.73682,0.40192,1.44998,1.32089,1.66334,0.000456921,0.000456921,0.000456921
11,82.8955,0.99369,0.80624,1.22891,0.75889,0.66689,0.72907,0.40508,1.45876,1.33517,1.69542,0.000445912,0.000445912,0.000445912
12,90.081,1.01982,0.84576,1.24732,0.77257,0.68048,0.71966,0.39906,1.49208,1.37651,1.71624,0.000434903,0.000434903,0.000434903
13,97.3077,0.9628,0.79503,1.20083,0.79407,0.69995,0.74315,0.42754,1.43346,1.27487,1.69546,0.000423894,0.000423894,0.000423894
14,104.585,0.97343,0.76757,1.1996,0.76708,0.68975,0.73898,0.42838,1.45162,1.35575,1.69253,0.000412886,0.000412886,0.000412886
15,111.806,0.96806,0.76787,1.21219,0.77861,0.69809,0.73316,0.42683,1.45825,1.40895,1.71037,0.000401877,0.000401877,0.000401877
16,119.023,0.98391,0.78713,1.21981,0.8446,0.68126,0.75505,0.41824,1.45863,1.33227,1.71073,0.000390868,0.000390868,0.000390868
17,126.259,0.96283,0.75303,1.19894,0.79317,0.70276,0.75881,0.42741,1.42789,1.31221,1.69369,0.000379859,0.000379859,0.000379859
18,133.491,0.93024,0.73385,1.19578,0.81618,0.65246,0.73397,0.41985,1.42909,1.38959,1.68065,0.00036885,0.00036885,0.00036885
19,140.735,0.93443,0.71705,1.17501,0.81345,0.69484,0.76227,0.4352,1.41517,1.25593,1.67306,0.000357842,0.000357842,0.000357842
20,147.947,0.92074,0.71535,1.1711,0.82602,0.6985,0.74978,0.42118,1.41336,1.20781,1.67166,0.000346833,0.000346833,0.000346833
21,155.296,0.90683,0.70436,1.16563,0.81484,0.69643,0.76538,0.43158,1.40532,1.2811,1.64687,0.000335824,0.000335824,0.000335824
22,162.583,0.90582,0.68742,1.16341,0.79631,0.7225,0.76726,0.43257,1.42872,1.29922,1.66297,0.000324815,0.000324815,0.000324815
23,169.846,0.91181,0.70856,1.16149,0.76063,0.73877,0.76482,0.43189,1.42472,1.29862,1.66696,0.000313806,0.000313806,0.000313806
24,177.063,0.89826,0.68995,1.16388,0.79371,0.70521,0.76995,0.44506,1.37375,1.34653,1.61923,0.000302798,0.000302798,0.000302798
25,184.42,0.89632,0.69317,1.16361,0.81205,0.68858,0.74158,0.42921,1.4074,1.40234,1.66344,0.000291789,0.000291789,0.000291789
26,191.663,0.89621,0.68752,1.148,0.83412,0.6926,0.75112,0.43619,1.39453,1.41161,1.65468,0.00028078,0.00028078,0.00028078
27,198.904,0.88219,0.67381,1.15615,0.861,0.67339,0.7715,0.43955,1.39284,1.30353,1.65377,0.000269771,0.000269771,0.000269771
28,206.154,0.8905,0.66464,1.13866,0.80829,0.71372,0.77877,0.43865,1.39365,1.28384,1.65186,0.000258762,0.000258762,0.000258762
29,213.44,0.89464,0.68858,1.15594,0.82998,0.68809,0.77113,0.43666,1.39625,1.21661,1.66089,0.000247754,0.000247754,0.000247754
30,220.798,0.87736,0.65639,1.1383,0.80209,0.74224,0.77967,0.4498,1.37602,1.21156,1.64816,0.000236745,0.000236745,0.000236745
31,228.047,0.85053,0.65315,1.1304,0.82915,0.70086,0.76787,0.4475,1.36324,1.23514,1.62881,0.000225736,0.000225736,0.000225736
32,235.287,0.86676,0.64686,1.13684,0.79957,0.72632,0.77946,0.44753,1.37177,1.22031,1.63853,0.000214727,0.000214727,0.000214727
33,242.569,0.8573,0.63941,1.13557,0.84974,0.70725,0.78324,0.45612,1.36689,1.21148,1.61875,0.000203718,0.000203718,0.000203718
34,249.84,0.84719,0.61921,1.12503,0.8735,0.70833,0.78436,0.4587,1.35449,1.20565,1.60902,0.00019271,0.00019271,0.00019271
35,257.153,0.83733,0.62088,1.12857,0.87165,0.71012,0.79387,0.46499,1.35276,1.2018,1.62221,0.000181701,0.000181701,0.000181701
36,264.492,0.82071,0.59921,1.11329,0.86294,0.70985,0.7953,0.4647,1.35375,1.23068,1.63088,0.000170692,0.000170692,0.000170692
37,271.802,0.82947,0.61716,1.12331,0.83883,0.73163,0.79201,0.45728,1.37696,1.2249,1.6584,0.000159683,0.000159683,0.000159683
38,279.174,0.8356,0.61987,1.1344,0.82911,0.71079,0.77252,0.44647,1.37973,1.26918,1.66082,0.000148674,0.000148674,0.000148674
39,286.435,0.82794,0.61514,1.12792,0.87012,0.68244,0.76881,0.4416,1.37251,1.25075,1.64072,0.000137666,0.000137666,0.000137666
40,293.727,0.81717,0.59583,1.11171,0.88269,0.69156,0.77277,0.44885,1.36908,1.27305,1.64489,0.000126657,0.000126657,0.000126657
41,328.4,0.77955,0.53623,1.09796,0.90032,0.69076,0.78308,0.44588,1.36978,1.23357,1.65199,0.000115648,0.000115648,0.000115648
42,335.866,0.76878,0.50942,1.09633,0.8274,0.72356,0.78789,0.45054,1.37311,1.20155,1.65357,0.000104639,0.000104639,0.000104639
43,343.081,0.73946,0.49065,1.08107,0.87336,0.71171,0.79003,0.45543,1.36874,1.2133,1.65115,9.36304e-05,9.36304e-05,9.36304e-05
44,350.271,0.74159,0.48408,1.07934,0.84153,0.72026,0.78886,0.45565,1.3555,1.21106,1.63959,8.26216e-05,8.26216e-05,8.26216e-05
45,357.44,0.72183,0.47612,1.0666,0.87153,0.68915,0.77873,0.46038,1.35257,1.19053,1.64338,7.16128e-05,7.16128e-05,7.16128e-05
46,364.688,0.73173,0.4741,1.07312,0.89442,0.68574,0.77884,0.45873,1.35689,1.22644,1.65093,6.0604e-05,6.0604e-05,6.0604e-05
47,372.223,0.71042,0.46027,1.05942,0.86483,0.71881,0.78464,0.46047,1.35996,1.22202,1.65409,4.95952e-05,4.95952e-05,4.95952e-05
48,379.408,0.71726,0.45986,1.05998,0.87445,0.70764,0.7824,0.46037,1.34939,1.19746,1.6467,3.85864e-05,3.85864e-05,3.85864e-05
49,386.613,0.70586,0.45374,1.05065,0.87938,0.70583,0.78446,0.46268,1.35395,1.18936,1.64949,2.75776e-05,2.75776e-05,2.75776e-05
50,393.852,0.70816,0.46191,1.04788,0.878,0.71089,0.78362,0.46363,1.35187,1.1941,1.64653,1.65688e-05,1.65688e-05,1.65688e-05
