epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.7248,0.8317,0.68331,1.13999,0.86947,0.72597,0.79683,0.47414,1.39654,1.17223,1.65857,0.000180581,0.000180581,0.000180581
2,25.587,0.87324,0.66222,1.14268,0.84994,0.7076,0.79585,0.46457,1.40261,1.19691,1.66209,0.000358669,0.000358669,0.000358669
3,33.2213,0.91256,0.69111,1.14651,0.88896,0.72076,0.79985,0.46075,1.43769,1.2676,1.70866,0.000529418,0.000529418,0.000529418
4,40.779,0.93915,0.70471,1.17349,0.81915,0.69809,0.76949,0.44021,1.48,1.38968,1.7027,0.000522974,0.000522974,0.000522974
5,48.3336,0.95078,0.72021,1.16017,0.76902,0.71459,0.75584,0.43319,1.5013,1.31731,1.74783,0.000511965,0.000511965,0.000511965
6,55.8521,0.9281,0.69809,1.16821,0.80344,0.70716,0.76224,0.43284,1.46593,1.3367,1.68793,0.000500956,0.000500956,0.000500956
7,63.3871,0.91758,0.69139,1.16254,0.81616,0.68573,0.7565,0.43038,1.44924,1.32804,1.68415,0.000489947,0.000489947,0.000489947
8,70.938,0.93852,0.69316,1.15828,0.83972,0.70592,0.77029,0.43794,1.45642,1.34114,1.69645,0.000478938,0.000478938,0.000478938
9,78.6646,0.95657,0.69508,1.17448,0.78367,0.74337,0.76518,0.43653,1.45568,1.20544,1.68952,0.00046793,0.00046793,0.00046793
10,86.2325,0.92091,0.68532,1.15882,0.78989,0.68015,0.75434,0.4312,1.47486,1.33349,1.69005,0.000456921,0.000456921,0.000456921
11,93.7738,0.9436,0.68683,1.16933,0.81924,0.66307,0.73553,0.42562,1.46414,1.39044,1.70208,0.000445912,0.000445912,0.000445912
12,101.324,0.90528,0.67346,1.15075,0.8187,0.71299,0.77093,0.44607,1.45709,1.30262,1.67718,0.000434903,0.000434903,0.000434903
13,108.902,0.91334,0.68119,1.15295,0.81895,0.69122,0.76461,0.43384,1.47593,1.33938,1.69108,0.000423894,0.000423894,0.000423894
14,116.48,0.898,0.66521,1.14963,0.78286,0.73259,0.77235,0.43739,1.47748,1.4156,1.69423,0.000412886,0.000412886,0.000412886
15,124.087,0.89991,0.65624,1.15563,0.79046,0.72506,0.75571,0.44373,1.45008,1.35769,1.69358,0.000401877,0.000401877,0.000401877
