epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.9414,0.79656,0.82255,1.17052,0.89794,0.68292,0.76377,0.45881,1.33957,1.0006,1.67791,5.004e-05,5.004e-05,5.004e-05
2,7.3959,0.80165,0.71219,1.12243,0.81168,0.71492,0.74933,0.43541,1.40126,1.07016,1.72277,0.000103548,0.000103548,0.000103548
3,9.69527,0.74142,0.65259,1.09335,0.81608,0.71708,0.76175,0.44332,1.40484,1.04985,1.7284,0.000154855,0.000154855,0.000154855
4,12.1418,0.73242,0.67144,1.09644,0.8146,0.69175,0.74494,0.43555,1.36849,1.04718,1.73142,0.00020396,0.00020396,0.00020396
5,14.4772,0.74619,0.66104,1.09705,0.82937,0.71146,0.74711,0.4332,1.39449,1.02626,1.76635,0.000250863,0.000250863,0.000250863
6,16.794,0.78585,0.71644,1.12696,0.82737,0.73473,0.75585,0.42811,1.42137,1.05139,1.78422,0.000295564,0.000295564,0.000295564
7,19.0997,0.81326,0.66898,1.1,0.84963,0.70786,0.73774,0.43143,1.40833,1.05326,1.79969,0.000338064,0.000338064,0.000338064
8,21.4248,0.8012,0.70446,1.12171,0.90005,0.69673,0.74991,0.43429,1.42898,1.05077,1.84188,0.000378361,0.000378361,0.000378361
9,23.7132,0.78667,0.69169,1.11379,0.83378,0.71997,0.762,0.44424,1.39248,1.0494,1.78645,0.000416457,0.000416457,0.000416457
10,26.0258,0.8602,0.71532,1.15937,0.79726,0.73785,0.75891,0.42649,1.4149,1.08585,1.80081,0.000452352,0.000452352,0.000452352
11,28.3491,0.84675,0.70881,1.14882,0.76447,0.72001,0.73791,0.42475,1.40562,1.10446,1.78934,0.000445912,0.000445912,0.000445912
12,30.6757,0.89618,0.731,1.17579,0.78849,0.69052,0.72928,0.42143,1.42862,1.10574,1.77117,0.000434903,0.000434903,0.000434903
13,33.0314,0.87152,0.70481,1.13421,0.77405,0.68198,0.73834,0.4181,1.50148,1.15085,1.84374,0.000423894,0.000423894,0.000423894
14,35.2941,0.85419,0.69466,1.13454,0.81003,0.7118,0.73648,0.42272,1.47304,1.10112,1.80086,0.000412886,0.000412886,0.000412886
15,37.5818,0.904,0.73482,1.17698,0.85082,0.69207,0.72602,0.41005,1.46792,1.10322,1.79161,0.000401877,0.000401877,0.000401877
16,40.0382,0.87031,0.70606,1.11581,0.78806,0.69591,0.7232,0.41199,1.45678,1.10498,1.82681,0.000390868,0.000390868,0.000390868
17,42.3174,0.8663,0.71814,1.15591,0.81538,0.69223,0.73375,0.4195,1.4432,1.0772,1.8587,0.000379859,0.000379859,0.000379859
18,44.6195,0.89441,0.72573,1.14215,0.79888,0.68172,0.72262,0.42875,1.37048,1.02815,1.75413,0.00036885,0.00036885,0.00036885
19,46.8687,0.83085,0.69854,1.14136,0.7941,0.69674,0.72008,0.42164,1.41384,1.03638,1.80219,0.000357842,0.000357842,0.000357842
20,49.1182,0.86551,0.6973,1.13762,0.802,0.71134,0.72907,0.42968,1.39137,1.04124,1.80504,0.000346833,0.000346833,0.000346833
21,51.4253,0.83914,0.71161,1.15941,0.78238,0.7016,0.7273,0.42635,1.40687,1.05988,1.845,0.000335824,0.000335824,0.000335824
22,53.6768,0.82283,0.68404,1.14067,0.81779,0.68304,0.71772,0.4273,1.39382,1.08924,1.82554,0.000324815,0.000324815,0.000324815
23,55.9145,0.83454,0.70787,1.1561,0.81969,0.68372,0.71369,0.43607,1.35263,1.05468,1.72627,0.000313806,0.000313806,0.000313806
24,58.1633,0.86818,0.70337,1.14883,0.7995,0.70943,0.72536,0.4283,1.38774,1.08852,1.75893,0.000302798,0.000302798,0.000302798
25,60.4227,0.83712,0.70503,1.17739,0.78433,0.70449,0.71487,0.42816,1.39307,1.09562,1.76382,0.000291789,0.000291789,0.000291789
26,62.7998,0.82783,0.67011,1.13904,0.82152,0.71812,0.73324,0.43622,1.38026,1.07268,1.76945,0.00028078,0.00028078,0.00028078
27,65.1087,0.80243,0.67252,1.15735,0.80363,0.7175,0.73828,0.43737,1.38123,1.06112,1.77157,0.000269771,0.000269771,0.000269771
28,67.4126,0.82862,0.67229,1.12924,0.80786,0.71852,0.74036,0.44241,1.36572,1.0307,1.75076,0.000258762,0.000258762,0.000258762
29,69.8535,0.81881,0.66278,1.10815,0.79807,0.72379,0.74141,0.4472,1.35724,1.02962,1.73266,0.000247754,0.000247754,0.000247754
30,72.155,0.79957,0.64711,1.09715,0.81952,0.71143,0.73133,0.44161,1.35396,1.04268,1.73895,0.000236745,0.000236745,0.000236745
31,74.4319,0.82449,0.67671,1.13415,0.83396,0.7206,0.73932,0.44129,1.35551,1.03036,1.74844,0.000225736,0.000225736,0.000225736
32,76.7261,0.85998,0.67829,1.15825,0.88491,0.71343,0.75182,0.44449,1.37025,1.01707,1.74953,0.000214727,0.000214727,0.000214727
33,78.9914,0.82793,0.69333,1.14256,0.88669,0.71125,0.74987,0.44043,1.36816,1.00616,1.73096,0.000203718,0.000203718,0.000203718
34,81.2973,0.80133,0.65356,1.10832,0.83516,0.71758,0.75523,0.44293,1.37102,1.02385,1.71702,0.00019271,0.00019271,0.00019271
