epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.8428,0.93385,0.67521,1.11008,0.87273,0.76962,0.82798,0.48963,1.36473,0.8827,1.53013,0.00018399,0.00018399,0.00018399
2,53.6154,0.95758,0.68295,1.12386,0.84026,0.76838,0.81642,0.47816,1.39301,0.90768,1.54094,0.000362011,0.000362011,0.000362011
3,76.0856,0.99778,0.73286,1.14481,0.8494,0.74254,0.80401,0.4718,1.41026,1.01846,1.53739,0.000532693,0.000532693,0.000532693
4,98.7787,1.0302,0.76092,1.16441,0.81379,0.7438,0.79286,0.44962,1.44552,1.03433,1.58998,0.000522974,0.000522974,0.000522974
5,121.629,1.02443,0.76904,1.16673,0.8165,0.7691,0.80771,0.46075,1.43326,0.98477,1.54901,0.000511965,0.000511965,0.000511965
6,143.903,1.03614,0.77554,1.16849,0.83094,0.72883,0.79019,0.45425,1.44309,0.98736,1.56324,0.000500956,0.000500956,0.000500956
7,167.6,1.02792,0.75409,1.16253,0.83105,0.74834,0.79631,0.46254,1.4323,0.99409,1.56496,0.000489947,0.000489947,0.000489947
8,191.238,1.03171,0.75562,1.15906,0.83117,0.76659,0.81791,0.46714,1.40875,0.94186,1.53227,0.000478938,0.000478938,0.000478938
9,215.091,1.03392,0.7584,1.16537,0.81547,0.74604,0.80295,0.4574,1.42644,1.0127,1.57266,0.00046793,0.00046793,0.00046793
10,238.02,1.03189,0.74377,1.16016,0.85384,0.73862,0.80934,0.46853,1.42788,0.97805,1.54766,0.000456921,0.000456921,0.000456921
11,260.73,1.01895,0.74347,1.15988,0.80891,0.74384,0.79177,0.45657,1.45588,1.03756,1.61929,0.000445912,0.000445912,0.000445912
12,283.375,1.01585,0.7277,1.15695,0.84923,0.77132,0.82037,0.46986,1.41215,0.94686,1.55512,0.000434903,0.000434903,0.000434903
13,304.942,1.01037,0.72558,1.15,0.86275,0.73509,0.81832,0.473,1.42286,0.92988,1.55594,0.000423894,0.000423894,0.000423894
14,326.973,1.00019,0.72405,1.15515,0.82537,0.77701,0.81378,0.47488,1.40567,0.9637,1.54142,0.000412886,0.000412886,0.000412886
