epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.588,0.70083,0.78732,1.14523,0.82141,0.70235,0.7562,0.46208,1.34963,1.05931,1.6793,5.004e-05,5.004e-05,5.004e-05
2,6.92554,0.93262,0.85794,1.20245,0.81872,0.6977,0.74414,0.43379,1.38107,1.05631,1.72991,0.000103548,0.000103548,0.000103548
3,8.99907,0.88886,0.82737,1.18142,0.79769,0.70235,0.73026,0.43465,1.37553,1.08583,1.72462,0.000154855,0.000154855,0.000154855
4,11.0883,0.87011,0.83006,1.17614,0.77159,0.71697,0.72406,0.4228,1.38613,1.09858,1.74183,0.00020396,0.00020396,0.00020396
5,13.2293,0.88115,0.81592,1.18241,0.7862,0.67382,0.72667,0.41215,1.39376,1.11322,1.74326,0.000250863,0.000250863,0.000250863
6,15.4373,0.89841,0.87015,1.20107,0.71781,0.70922,0.72921,0.42028,1.42819,1.14771,1.76446,0.000295564,0.000295564,0.000295564
7,17.5561,0.92866,0.80839,1.171,0.85787,0.65521,0.72188,0.41358,1.45047,1.1324,1.79951,0.000338064,0.000338064,0.000338064
8,19.5645,0.95258,0.86373,1.22198,0.77782,0.69877,0.72299,0.41365,1.49482,1.13655,1.86204,0.000378361,0.000378361,0.000378361
9,21.6043,0.92899,0.86373,1.21131,0.72597,0.72413,0.71228,0.40343,1.47805,1.20621,1.85168,0.000416457,0.000416457,0.000416457
10,23.6626,0.98977,0.86435,1.24184,0.78518,0.69934,0.71485,0.4012,1.42729,1.16817,1.8188,0.000452352,0.000452352,0.000452352
11,25.7118,0.92713,0.84717,1.19908,0.73632,0.71278,0.70576,0.39294,1.43112,1.209,1.82312,0.000445912,0.000445912,0.000445912
12,28.0033,0.96419,0.86399,1.23058,0.73548,0.7006,0.70541,0.39545,1.44603,1.2309,1.85073,0.000434903,0.000434903,0.000434903
13,30.152,0.97953,0.85046,1.2117,0.72615,0.72193,0.71619,0.40669,1.42848,1.19974,1.81468,0.000423894,0.000423894,0.000423894
14,32.3033,0.93388,0.82766,1.19261,0.80083,0.70923,0.73181,0.41423,1.48613,1.19412,1.79459,0.000412886,0.000412886,0.000412886
15,34.4172,0.94761,0.86757,1.22449,0.80438,0.70988,0.73794,0.41168,1.49005,1.20806,1.79874,0.000401877,0.000401877,0.000401877
