epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.66761,0.68877,0.77808,1.14032,0.85524,0.6851,0.74772,0.45619,1.35276,1.07688,1.68688,5.004e-05,5.004e-05,5.004e-05
2,5.96153,0.94055,0.86656,1.20564,0.83869,0.68292,0.74332,0.43263,1.38837,1.07014,1.72106,0.000103548,0.000103548,0.000103548
3,8.14601,0.89486,0.82268,1.18785,0.79349,0.71271,0.74812,0.44153,1.37276,1.0678,1.71881,0.000154855,0.000154855,0.000154855
4,10.314,0.86571,0.826,1.17524,0.7759,0.71139,0.72185,0.42373,1.38883,1.09467,1.72507,0.00020396,0.00020396,0.00020396
5,12.4324,0.87954,0.81678,1.18205,0.77291,0.6949,0.71603,0.39931,1.43945,1.14213,1.76558,0.000250863,0.000250863,0.000250863
6,14.5564,0.91505,0.86649,1.20698,0.71573,0.7073,0.72063,0.40557,1.43412,1.14201,1.76166,0.000295564,0.000295564,0.000295564
7,16.6045,0.9207,0.81089,1.1683,0.69422,0.693,0.70466,0.41838,1.41605,1.13144,1.75,0.000338064,0.000338064,0.000338064
8,18.7491,0.93207,0.85659,1.20278,0.79634,0.69616,0.73059,0.42811,1.45982,1.13643,1.82284,0.000378361,0.000378361,0.000378361
9,20.812,0.91761,0.85283,1.20127,0.8004,0.68381,0.724,0.41023,1.48571,1.17354,1.8571,0.000416457,0.000416457,0.000416457
10,22.8674,0.98798,0.85776,1.23448,0.8023,0.67637,0.70963,0.40507,1.45375,1.15406,1.83965,0.000452352,0.000452352,0.000452352
11,24.899,0.9249,0.85301,1.19611,0.81608,0.67816,0.715,0.41663,1.42872,1.17178,1.80665,0.000445912,0.000445912,0.000445912
12,27.1014,0.96901,0.86679,1.23069,0.82511,0.66966,0.73101,0.4149,1.43569,1.20904,1.8123,0.000434903,0.000434903,0.000434903
13,29.2174,0.9721,0.83905,1.20381,0.83583,0.65165,0.71722,0.41497,1.43888,1.22085,1.8035,0.000423894,0.000423894,0.000423894
14,31.2802,0.92173,0.80717,1.18801,0.80037,0.67991,0.72669,0.40974,1.44624,1.24241,1.77696,0.000412886,0.000412886,0.000412886
15,33.3208,0.93314,0.85147,1.22125,0.78657,0.6969,0.73053,0.41587,1.44939,1.20378,1.78634,0.000401877,0.000401877,0.000401877
16,35.3313,0.96104,0.83294,1.18029,0.83949,0.69786,0.74625,0.42331,1.48255,1.12149,1.88675,0.000390868,0.000390868,0.000390868
17,37.3599,0.96666,0.85579,1.21938,0.8129,0.72499,0.74635,0.42707,1.41912,1.13996,1.77147,0.000379859,0.000379859,0.000379859
18,39.3664,0.98407,0.83788,1.20115,0.80328,0.69351,0.74805,0.42587,1.43761,1.14026,1.77439,0.00036885,0.00036885,0.00036885
19,41.4046,0.91098,0.81112,1.18541,0.79463,0.70051,0.74712,0.42475,1.4106,1.10265,1.7672,0.000357842,0.000357842,0.000357842
20,43.509,0.92513,0.81653,1.17937,0.7703,0.68907,0.72551,0.42242,1.43152,1.11914,1.81269,0.000346833,0.000346833,0.000346833
21,45.5263,0.95095,0.8518,1.23823,0.80126,0.69118,0.72593,0.42223,1.44218,1.1301,1.80695,0.000335824,0.000335824,0.000335824
22,47.6173,0.92821,0.81435,1.20677,0.7853,0.71301,0.71869,0.42732,1.4105,1.08821,1.75399,0.000324815,0.000324815,0.000324815
23,49.6622,0.91117,0.81946,1.20724,0.76241,0.71986,0.70853,0.42836,1.37865,1.07377,1.70911,0.000313806,0.000313806,0.000313806
24,51.7887,0.9558,0.80155,1.20691,0.79722,0.71304,0.7232,0.43714,1.39226,1.07061,1.73057,0.000302798,0.000302798,0.000302798
25,53.8209,0.92821,0.81274,1.23329,0.82108,0.71735,0.74939,0.44239,1.38345,1.05241,1.7346,0.000291789,0.000291789,0.000291789
26,55.8717,0.91854,0.78222,1.19544,0.81656,0.70663,0.74667,0.4448,1.40101,1.07408,1.7492,0.00028078,0.00028078,0.00028078
27,57.835,0.90204,0.79713,1.2218,0.77057,0.72025,0.74961,0.44811,1.40453,1.07717,1.74724,0.000269771,0.000269771,0.000269771
28,59.8736,0.91943,0.77724,1.1803,0.85986,0.70047,0.73873,0.44105,1.40654,1.0942,1.74853,0.000258762,0.000258762,0.000258762
29,61.9416,0.91088,0.75104,1.1626,0.80743,0.70808,0.73036,0.43355,1.37928,1.07212,1.71637,0.000247754,0.000247754,0.000247754
30,64.0104,0.8543,0.74929,1.13473,0.82071,0.70715,0.73467,0.43455,1.33962,1.07936,1.67669,0.000236745,0.000236745,0.000236745
31,66.1146,0.91459,0.79255,1.18549,0.85653,0.71124,0.74456,0.43341,1.34519,1.0677,1.68407,0.000225736,0.000225736,0.000225736
32,68.1557,0.94006,0.7843,1.20798,0.8209,0.72491,0.74521,0.43091,1.34151,1.0331,1.68254,0.000214727,0.000214727,0.000214727
33,70.1551,0.90721,0.78996,1.18637,0.85796,0.7171,0.74764,0.43653,1.3592,1.0398,1.69576,0.000203718,0.000203718,0.000203718
34,72.3315,0.88544,0.75607,1.16053,0.86345,0.69898,0.76683,0.44297,1.36004,1.05029,1.69583,0.00019271,0.00019271,0.00019271
35,74.4401,0.92705,0.76999,1.18801,0.88716,0.69539,0.76281,0.45125,1.34171,1.04877,1.692,0.000181701,0.000181701,0.000181701
36,76.5141,0.94994,0.78323,1.21583,0.87603,0.69682,0.75834,0.45343,1.34992,1.05589,1.70038,0.000170692,0.000170692,0.000170692
37,78.5074,0.93783,0.76244,1.19132,0.87295,0.70004,0.75785,0.45096,1.35849,1.05498,1.70569,0.000159683,0.000159683,0.000159683
38,80.5281,0.90355,0.76037,1.19314,0.787,0.72545,0.75548,0.45393,1.34541,1.0386,1.69489,0.000148674,0.000148674,0.000148674
39,82.6058,0.90625,0.78636,1.19522,0.81016,0.73082,0.76558,0.45397,1.33667,1.0353,1.68893,0.000137666,0.000137666,0.000137666
40,84.7081,0.93072,0.755,1.16585,0.83858,0.71864,0.76575,0.45316,1.33676,1.02983,1.69635,0.000126657,0.000126657,0.000126657
41,109.727,0.97379,0.8806,1.27305,0.8348,0.71477,0.76061,0.4486,1.34269,1.02504,1.69856,0.000115648,0.000115648,0.000115648
42,112.236,0.96264,0.8629,1.25372,0.81167,0.74003,0.76922,0.44876,1.36907,1.02166,1.7294,0.000104639,0.000104639,0.000104639
43,114.676,0.95137,0.80891,1.20736,0.83166,0.73004,0.77108,0.44954,1.38572,1.03191,1.74083,9.36304e-05,9.36304e-05,9.36304e-05
44,116.822,0.92336,0.80324,1.22915,0.8653,0.70861,0.77028,0.45126,1.38812,1.03104,1.74277,8.26216e-05,8.26216e-05,8.26216e-05
45,118.801,0.90191,0.8268,1.20421,0.86227,0.69188,0.76569,0.44993,1.37552,1.011,1.72181,7.16128e-05,7.16128e-05,7.16128e-05
46,120.858,0.90188,0.81078,1.21952,0.88945,0.6731,0.76723,0.45545,1.35735,0.9988,1.70134,6.0604e-05,6.0604e-05,6.0604e-05
47,122.902,0.89663,0.78306,1.20027,0.89235,0.66913,0.76602,0.45605,1.35097,0.99503,1.69637,4.95952e-05,4.95952e-05,4.95952e-05
48,124.936,0.88592,0.77219,1.19508,0.88004,0.67422,0.76428,0.45658,1.34508,0.9949,1.69097,3.85864e-05,3.85864e-05,3.85864e-05
49,126.936,0.89186,0.782,1.20692,0.78526,0.715,0.76264,0.45676,1.3444,0.99385,1.68801,2.75776e-05,2.75776e-05,2.75776e-05
50,128.998,0.89313,0.76176,1.19055,0.80729,0.72886,0.76292,0.45375,1.3429,0.99424,1.68552,1.65688e-05,1.65688e-05,1.65688e-05
