epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.9788,1.00726,1.07637,1.23936,0.70583,0.72251,0.72212,0.41804,1.46096,1.34744,1.71406,0.00017236,0.00017236,0.00017236
2,22.2769,0.98533,0.92201,1.22437,0.73013,0.67441,0.71496,0.40424,1.49657,1.40345,1.72432,0.000343344,0.000343344,0.000343344
3,29.0474,1.00339,0.94083,1.22911,0.72521,0.67187,0.70547,0.39291,1.47447,1.36101,1.74047,0.000507283,0.000507283,0.000507283
4,35.731,1.03437,0.93144,1.21878,0.73807,0.60403,0.67914,0.38329,1.47404,1.43442,1.72848,0.000522974,0.000522974,0.000522974
5,42.4541,1.03175,0.97099,1.25529,0.70224,0.66686,0.69138,0.38129,1.5307,1.43015,1.73719,0.000511965,0.000511965,0.000511965
6,49.2755,1.04815,0.93902,1.25989,0.73923,0.62589,0.69302,0.38119,1.51323,1.42,1.74345,0.000500956,0.000500956,0.000500956
7,55.8976,1.07771,0.93675,1.25422,0.73858,0.62898,0.68817,0.37452,1.52667,1.58968,1.74596,0.000489947,0.000489947,0.000489947
8,62.5453,1.06638,0.94829,1.26172,0.77666,0.64733,0.7203,0.39452,1.48304,1.37229,1.70212,0.000478938,0.000478938,0.000478938
9,69.1017,1.06052,0.912,1.24137,0.7833,0.64597,0.73183,0.40476,1.46217,1.48842,1.69598,0.00046793,0.00046793,0.00046793
10,75.9773,1.03466,0.89851,1.22831,0.77701,0.64698,0.72353,0.40917,1.45362,1.36521,1.67528,0.000456921,0.000456921,0.000456921
11,82.4812,1.01393,0.89663,1.2344,0.74496,0.65296,0.7211,0.38993,1.48344,1.37516,1.69189,0.000445912,0.000445912,0.000445912
12,89.1747,0.99833,0.8573,1.2248,0.7341,0.66862,0.73131,0.40463,1.46908,1.34537,1.69146,0.000434903,0.000434903,0.000434903
13,95.6138,1.00201,0.84737,1.19555,0.7939,0.6313,0.72164,0.39565,1.47372,1.30497,1.68411,0.000423894,0.000423894,0.000423894
14,102.13,1.00562,0.86416,1.22505,0.78021,0.67786,0.74063,0.41392,1.44637,1.25796,1.67393,0.000412886,0.000412886,0.000412886
15,108.592,0.98008,0.82875,1.21198,0.80089,0.68117,0.73851,0.41251,1.4472,1.30854,1.67804,0.000401877,0.000401877,0.000401877
16,115.158,0.99661,0.81785,1.20706,0.81492,0.65439,0.75337,0.42498,1.40952,1.30216,1.63776,0.000390868,0.000390868,0.000390868
17,121.683,0.96652,0.80737,1.1839,0.83162,0.66994,0.75314,0.42679,1.38074,1.32811,1.61116,0.000379859,0.000379859,0.000379859
18,128.239,0.94152,0.80227,1.19045,0.85945,0.66808,0.76082,0.42604,1.40704,1.27446,1.64118,0.00036885,0.00036885,0.00036885
19,134.899,0.9635,0.79882,1.18851,0.83204,0.66519,0.75112,0.41952,1.43191,1.3069,1.6617,0.000357842,0.000357842,0.000357842
20,141.352,0.95107,0.7904,1.19457,0.78943,0.6938,0.75135,0.41854,1.42838,1.37165,1.65388,0.000346833,0.000346833,0.000346833
21,147.995,0.94815,0.76536,1.17522,0.8341,0.66865,0.75136,0.42609,1.40896,1.30625,1.62219,0.000335824,0.000335824,0.000335824
22,154.526,0.94847,0.75454,1.17173,0.8147,0.68427,0.75659,0.42429,1.42159,1.2614,1.63985,0.000324815,0.000324815,0.000324815
23,161.081,0.93479,0.76095,1.16732,0.77536,0.6822,0.74634,0.42584,1.42128,1.30668,1.66252,0.000313806,0.000313806,0.000313806
24,167.58,0.93592,0.73355,1.15796,0.77005,0.72617,0.76301,0.43068,1.40736,1.32239,1.65468,0.000302798,0.000302798,0.000302798
25,174.138,0.93734,0.73568,1.17325,0.82404,0.69582,0.75568,0.43143,1.42046,1.42155,1.67164,0.000291789,0.000291789,0.000291789
26,180.706,0.9227,0.73826,1.15483,0.78497,0.67577,0.73564,0.42022,1.41973,1.28496,1.65886,0.00028078,0.00028078,0.00028078
27,187.405,0.91937,0.71933,1.15656,0.7769,0.69589,0.73925,0.42237,1.42019,1.29231,1.6675,0.000269771,0.000269771,0.000269771
28,194.255,0.87716,0.67402,1.11588,0.74637,0.72854,0.75413,0.43456,1.40558,1.26457,1.66408,0.000258762,0.000258762,0.000258762
29,200.959,0.9204,0.71189,1.14234,0.80054,0.70499,0.75988,0.43314,1.39958,1.25626,1.64555,0.000247754,0.000247754,0.000247754
30,207.811,0.88565,0.69908,1.14901,0.82328,0.69302,0.76936,0.43911,1.39768,1.26024,1.65896,0.000236745,0.000236745,0.000236745
31,214.485,0.85262,0.67665,1.12847,0.83855,0.69963,0.77123,0.44185,1.38796,1.21308,1.65291,0.000225736,0.000225736,0.000225736
32,221.171,0.86939,0.67813,1.13941,0.83591,0.71293,0.77691,0.44341,1.37868,1.20393,1.63927,0.000214727,0.000214727,0.000214727
33,227.901,0.8697,0.66035,1.12296,0.82101,0.71056,0.78227,0.44107,1.38416,1.21001,1.63766,0.000203718,0.000203718,0.000203718
34,234.518,0.86468,0.67824,1.13409,0.81716,0.74234,0.78152,0.44287,1.3944,1.27276,1.64192,0.00019271,0.00019271,0.00019271
35,241.185,0.85928,0.63775,1.12561,0.85967,0.70097,0.77902,0.44465,1.3848,1.22402,1.61979,0.000181701,0.000181701,0.000181701
36,247.79,0.83569,0.6328,1.11011,0.85832,0.70433,0.78019,0.44744,1.38952,1.1964,1.65152,0.000170692,0.000170692,0.000170692
37,254.566,0.84416,0.64706,1.11269,0.84919,0.71861,0.79252,0.45112,1.39095,1.1753,1.65437,0.000159683,0.000159683,0.000159683
38,261.202,0.83903,0.65007,1.12577,0.83479,0.72998,0.79262,0.44768,1.39799,1.20027,1.65963,0.000148674,0.000148674,0.000148674
39,267.868,0.83944,0.6413,1.11841,0.79866,0.73341,0.7837,0.44735,1.38234,1.21465,1.64539,0.000137666,0.000137666,0.000137666
40,274.493,0.83108,0.6283,1.12248,0.8435,0.70055,0.77189,0.44339,1.3824,1.22811,1.64881,0.000126657,0.000126657,0.000126657
41,346.856,0.79388,0.57566,1.09028,0.83285,0.70352,0.77832,0.44296,1.39541,1.26009,1.65902,0.000115648,0.000115648,0.000115648
42,353.764,0.79856,0.56731,1.09223,0.85831,0.70347,0.78262,0.4469,1.38264,1.21039,1.65148,0.000104639,0.000104639,0.000104639
43,360.487,0.77931,0.54142,1.08782,0.85597,0.71231,0.79102,0.44952,1.37749,1.1807,1.65042,9.36304e-05,9.36304e-05,9.36304e-05
44,367.017,0.76964,0.5411,1.08282,0.81977,0.71272,0.77848,0.44878,1.38699,1.20985,1.66209,8.26216e-05,8.26216e-05,8.26216e-05
45,373.46,0.76166,0.53411,1.07234,0.87915,0.69829,0.78148,0.45101,1.38251,1.19877,1.65765,7.16128e-05,7.16128e-05,7.16128e-05
46,380.011,0.73974,0.52231,1.06486,0.87829,0.70231,0.78356,0.45198,1.38854,1.19654,1.66242,6.0604e-05,6.0604e-05,6.0604e-05
47,386.504,0.73952,0.51281,1.06543,0.8128,0.73216,0.78992,0.45546,1.38756,1.20947,1.66242,4.95952e-05,4.95952e-05,4.95952e-05
48,392.987,0.72987,0.50524,1.06725,0.8586,0.70425,0.78695,0.45662,1.37691,1.19759,1.64845,3.85864e-05,3.85864e-05,3.85864e-05
49,399.46,0.7503,0.51116,1.07659,0.87314,0.69905,0.78956,0.45664,1.37381,1.18495,1.64657,2.75776e-05,2.75776e-05,2.75776e-05
50,405.912,0.73928,0.50422,1.06099,0.87941,0.69614,0.79016,0.45237,1.37542,1.18543,1.6505,1.65688e-05,1.65688e-05,1.65688e-05
