epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.9005,0.90766,0.78404,1.11927,0.85331,0.74856,0.80227,0.48025,1.38858,0.95077,1.59602,0.000183789,0.000183789,0.000183789
2,45.6741,0.92014,0.67923,1.12398,0.86136,0.72687,0.80078,0.4636,1.42742,0.99317,1.59216,0.000361814,0.000361814,0.000361814
3,64.7237,0.96394,0.71972,1.14092,0.84427,0.72789,0.79406,0.46442,1.42646,1.05807,1.59236,0.000532499,0.000532499,0.000532499
4,84.1495,0.98884,0.76215,1.15574,0.77202,0.72107,0.77201,0.44819,1.43651,1.07468,1.63389,0.000522974,0.000522974,0.000522974
5,103.318,1.02298,0.79404,1.18303,0.82491,0.70227,0.75797,0.44508,1.44132,1.08737,1.59554,0.000511965,0.000511965,0.000511965
6,122.427,1.00074,0.76428,1.16816,0.82835,0.70991,0.7758,0.45048,1.44439,1.10801,1.5955,0.000500956,0.000500956,0.000500956
7,141.651,1.00277,0.77124,1.1694,0.85359,0.72735,0.80192,0.46354,1.42753,1.0355,1.59995,0.000489947,0.000489947,0.000489947
8,160.814,0.99658,0.76046,1.16136,0.82989,0.72204,0.7828,0.45484,1.42146,1.04535,1.57833,0.000478938,0.000478938,0.000478938
9,180.189,0.99307,0.75833,1.16435,0.82615,0.73727,0.7888,0.46333,1.42187,1.0442,1.59311,0.00046793,0.00046793,0.00046793
10,199.877,0.9832,0.74929,1.16332,0.82636,0.72538,0.79177,0.46729,1.41095,1.03593,1.60058,0.000456921,0.000456921,0.000456921
11,219.298,0.98308,0.73866,1.15711,0.7858,0.76143,0.7895,0.46746,1.42031,1.00414,1.5961,0.000445912,0.000445912,0.000445912
12,238.759,0.97048,0.73385,1.15464,0.83676,0.72987,0.80497,0.47643,1.39308,0.98708,1.56415,0.000434903,0.000434903,0.000434903
13,258.348,0.97258,0.71948,1.14939,0.83048,0.75224,0.80137,0.46345,1.43609,0.98799,1.60642,0.000423894,0.000423894,0.000423894
14,306.757,0.96117,0.72697,1.14228,0.86488,0.74904,0.81088,0.47396,1.40205,0.97848,1.56824,0.000412886,0.000412886,0.000412886
15,326.268,0.96982,0.71864,1.15846,0.88515,0.70957,0.79645,0.46231,1.45187,1.02524,1.6086,0.000401877,0.000401877,0.000401877
16,346.002,0.95388,0.69411,1.13728,0.85054,0.74018,0.79402,0.46241,1.42281,0.99353,1.58032,0.000390868,0.000390868,0.000390868
17,365.498,0.95133,0.70174,1.13998,0.86533,0.72629,0.80196,0.47103,1.41425,1.03538,1.5734,0.000379859,0.000379859,0.000379859
18,385.006,0.94318,0.69947,1.13767,0.8525,0.77207,0.81707,0.47945,1.38936,0.96041,1.55049,0.00036885,0.00036885,0.00036885
19,404.446,0.95137,0.6789,1.13473,0.86943,0.73881,0.80914,0.47533,1.39411,0.96937,1.5803,0.000357842,0.000357842,0.000357842
20,423.967,0.95208,0.67974,1.14302,0.88734,0.73994,0.81556,0.4866,1.38307,0.98816,1.55766,0.000346833,0.000346833,0.000346833
21,443.582,0.95022,0.66868,1.12781,0.86315,0.73377,0.8068,0.47959,1.41329,0.97507,1.59323,0.000335824,0.000335824,0.000335824
22,463.24,0.92182,0.66452,1.12402,0.85643,0.73641,0.80142,0.47229,1.41667,1.01713,1.59148,0.000324815,0.000324815,0.000324815
23,482.835,0.92037,0.66318,1.12298,0.86681,0.73475,0.79955,0.46942,1.40755,1.01639,1.57213,0.000313806,0.000313806,0.000313806
24,502.356,0.91899,0.65652,1.11203,0.85097,0.74344,0.80578,0.47963,1.38552,0.95494,1.57501,0.000302798,0.000302798,0.000302798
25,522.017,0.91527,0.64016,1.11017,0.87126,0.70866,0.79078,0.47137,1.37874,0.98899,1.56626,0.000291789,0.000291789,0.000291789
26,541.72,0.91259,0.65406,1.11574,0.85427,0.72068,0.79487,0.47071,1.37898,0.97284,1.55635,0.00028078,0.00028078,0.00028078
27,561.336,0.90345,0.65671,1.11574,0.8208,0.76111,0.80712,0.48516,1.3913,0.96826,1.58904,0.000269771,0.000269771,0.000269771
28,581.21,0.89466,0.63331,1.10537,0.87017,0.73743,0.81747,0.47965,1.38684,0.93831,1.57325,0.000258762,0.000258762,0.000258762
29,600.845,0.91132,0.657,1.11654,0.8537,0.7555,0.81616,0.48185,1.38491,0.93425,1.56091,0.000247754,0.000247754,0.000247754
30,620.504,0.87684,0.62216,1.1014,0.85749,0.74662,0.81665,0.48653,1.3669,0.92807,1.57829,0.000236745,0.000236745,0.000236745
31,640.175,0.86835,0.6129,1.09056,0.8801,0.73601,0.81496,0.49136,1.36905,0.96653,1.56461,0.000225736,0.000225736,0.000225736
32,660.008,0.88155,0.61739,1.087,0.87427,0.7413,0.81615,0.48496,1.37087,0.93102,1.56635,0.000214727,0.000214727,0.000214727
33,679.852,0.85377,0.6029,1.08895,0.86379,0.75208,0.80868,0.48767,1.3634,0.94498,1.57657,0.000203718,0.000203718,0.000203718
34,699.699,0.8593,0.60545,1.08898,0.8682,0.75032,0.80635,0.48619,1.36122,0.96773,1.56854,0.00019271,0.00019271,0.00019271
35,719.481,0.84994,0.61363,1.08833,0.87321,0.75568,0.81151,0.48406,1.36364,0.93046,1.57331,0.000181701,0.000181701,0.000181701
36,739.235,0.85803,0.60529,1.08912,0.87228,0.7538,0.81815,0.49095,1.36622,0.92073,1.5656,0.000170692,0.000170692,0.000170692
37,759.119,0.85096,0.59096,1.08162,0.87554,0.76019,0.81564,0.48611,1.3638,0.93395,1.58097,0.000159683,0.000159683,0.000159683
38,778.835,0.84268,0.58985,1.0856,0.85485,0.7614,0.82267,0.4942,1.36204,0.9221,1.5713,0.000148674,0.000148674,0.000148674
39,798.451,0.85514,0.59048,1.08627,0.86523,0.77,0.82555,0.49993,1.35508,0.9174,1.55125,0.000137666,0.000137666,0.000137666
40,817.867,0.82427,0.56766,1.07072,0.88497,0.73224,0.80528,0.48613,1.36253,0.95039,1.56164,0.000126657,0.000126657,0.000126657
41,880.02,0.78708,0.47561,1.02902,0.85829,0.7426,0.8134,0.49591,1.36338,0.91876,1.57277,0.000115648,0.000115648,0.000115648
42,899.28,0.76271,0.45694,1.02458,0.88784,0.73326,0.81651,0.49854,1.36189,0.91815,1.5724,0.000104639,0.000104639,0.000104639
43,918.327,0.75597,0.44582,1.02407,0.88979,0.73976,0.81796,0.49642,1.35608,0.91957,1.5703,9.36304e-05,9.36304e-05,9.36304e-05
44,937.403,0.75124,0.43792,1.02032,0.88677,0.74419,0.8179,0.49951,1.35506,0.91181,1.56829,8.26216e-05,8.26216e-05,8.26216e-05
45,956.57,0.74721,0.43021,1.00955,0.88006,0.74038,0.81622,0.49857,1.35189,0.91366,1.5718,7.16128e-05,7.16128e-05,7.16128e-05
46,976.106,0.73156,0.42354,1.006,0.84027,0.77538,0.82618,0.50446,1.35152,0.90598,1.57604,6.0604e-05,6.0604e-05,6.0604e-05
47,995.197,0.72278,0.42294,1.00765,0.84824,0.78163,0.82888,0.50729,1.34738,0.90141,1.57381,4.95952e-05,4.95952e-05,4.95952e-05
48,1014.43,0.72843,0.41804,1.00224,0.89232,0.746,0.82432,0.50239,1.34724,0.90768,1.57074,3.85864e-05,3.85864e-05,3.85864e-05
49,1033.57,0.72674,0.41789,1.00032,0.89375,0.74992,0.82702,0.50413,1.34874,0.90629,1.57479,2.75776e-05,2.75776e-05,2.75776e-05
50,1052.74,0.7219,0.4171,0.99495,0.8993,0.74682,0.82574,0.50333,1.3466,0.90263,1.57265,1.65688e-05,1.65688e-05,1.65688e-05
