epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.2194,0.95906,1.28748,1.23282,0.78101,0.69966,0.73564,0.43823,1.45322,1.64308,1.7457,0.000181964,0.000181964,0.000181964
2,41.3124,0.93203,0.91668,1.22367,0.82543,0.70221,0.74759,0.43481,1.41217,1.35936,1.68701,0.000360024,0.000360024,0.000360024
3,50.9686,0.98475,0.94545,1.25234,0.81327,0.67709,0.73279,0.42832,1.41816,1.4298,1.68897,0.000530746,0.000530746,0.000530746
4,60.447,0.9863,0.94487,1.25014,0.80331,0.65777,0.73378,0.42579,1.4591,1.53473,1.67212,0.000522974,0.000522974,0.000522974
5,69.8782,1.02345,0.97402,1.2601,0.79955,0.66388,0.74081,0.43751,1.41807,1.41153,1.66125,0.000511965,0.000511965,0.000511965
6,79.3273,1.00409,0.88659,1.22905,0.81185,0.65213,0.70603,0.41359,1.41334,1.51615,1.65615,0.000500956,0.000500956,0.000500956
7,88.8495,0.9905,0.8839,1.23762,0.83406,0.67242,0.7285,0.42019,1.47406,1.50555,1.69316,0.000489947,0.000489947,0.000489947
8,98.3965,0.95599,0.85383,1.20092,0.75484,0.67093,0.71227,0.42135,1.42247,1.58634,1.71386,0.000478938,0.000478938,0.000478938
9,108.259,0.98426,0.88038,1.22795,0.82593,0.68556,0.74882,0.43698,1.41346,1.48403,1.65844,0.00046793,0.00046793,0.00046793
10,117.748,0.96235,0.84231,1.20879,0.84659,0.683,0.74016,0.42452,1.44611,1.51588,1.69869,0.000456921,0.000456921,0.000456921
11,127.262,0.95024,0.82567,1.19591,0.84609,0.69263,0.74772,0.44528,1.3966,1.42502,1.62625,0.000445912,0.000445912,0.000445912
12,136.755,0.94245,0.81282,1.18875,0.8205,0.68903,0.73398,0.42447,1.44543,1.53416,1.68831,0.000434903,0.000434903,0.000434903
13,146.175,0.95322,0.81731,1.19945,0.81204,0.70727,0.74394,0.43852,1.41607,1.44198,1.68137,0.000423894,0.000423894,0.000423894
14,155.659,0.91288,0.77063,1.17351,0.84465,0.68333,0.75214,0.44259,1.41712,1.44497,1.65651,0.000412886,0.000412886,0.000412886
15,165.11,0.91379,0.76013,1.1721,0.83578,0.69727,0.75182,0.44795,1.40552,1.38671,1.66343,0.000401877,0.000401877,0.000401877
16,174.634,0.93612,0.7847,1.1853,0.8405,0.67913,0.73538,0.43844,1.40366,1.48131,1.65196,0.000390868,0.000390868,0.000390868
17,184.102,0.90886,0.75346,1.16961,0.80262,0.66864,0.72645,0.44136,1.38944,1.50262,1.63573,0.000379859,0.000379859,0.000379859
18,193.714,0.9127,0.74558,1.1673,0.83752,0.6919,0.73842,0.44671,1.42173,1.49807,1.64267,0.00036885,0.00036885,0.00036885
19,203.208,0.92157,0.74585,1.18283,0.83119,0.68557,0.74241,0.44267,1.3591,1.48642,1.60774,0.000357842,0.000357842,0.000357842
20,212.724,0.87104,0.72299,1.14441,0.85345,0.69446,0.75685,0.44403,1.35879,1.48096,1.62362,0.000346833,0.000346833,0.000346833
21,222.226,0.84792,0.68748,1.13585,0.84254,0.69647,0.74665,0.45085,1.36333,1.5521,1.64268,0.000335824,0.000335824,0.000335824
22,231.769,0.89346,0.71389,1.15563,0.84671,0.69561,0.76485,0.44599,1.37855,1.36125,1.63364,0.000324815,0.000324815,0.000324815
23,241.293,0.87684,0.70357,1.15668,0.82639,0.71873,0.76233,0.45342,1.34236,1.4572,1.59956,0.000313806,0.000313806,0.000313806
24,250.862,0.8669,0.69793,1.13537,0.84928,0.69884,0.75421,0.44922,1.3787,1.4963,1.64954,0.000302798,0.000302798,0.000302798
25,260.384,0.86535,0.69208,1.15265,0.80547,0.70049,0.73766,0.44641,1.35622,1.47344,1.63614,0.000291789,0.000291789,0.000291789
26,269.952,0.87114,0.69796,1.14371,0.81238,0.72008,0.75782,0.45147,1.3714,1.44439,1.64722,0.00028078,0.00028078,0.00028078
27,279.765,0.86506,0.70329,1.13558,0.82702,0.72069,0.76307,0.45287,1.36714,1.39316,1.61057,0.000269771,0.000269771,0.000269771
28,289.515,0.85627,0.67723,1.12784,0.83926,0.69904,0.74201,0.44808,1.32954,1.52954,1.59775,0.000258762,0.000258762,0.000258762
29,299.244,0.82751,0.63842,1.11895,0.82813,0.72333,0.75099,0.45443,1.34239,1.43746,1.61398,0.000247754,0.000247754,0.000247754
30,308.902,0.86066,0.66529,1.12839,0.82569,0.70789,0.74691,0.45251,1.33652,1.46292,1.60932,0.000236745,0.000236745,0.000236745
31,318.504,0.84716,0.67466,1.13987,0.86214,0.69616,0.75699,0.45854,1.33753,1.51293,1.60978,0.000225736,0.000225736,0.000225736
32,328.098,0.80945,0.6348,1.1112,0.85882,0.71694,0.7683,0.46308,1.31587,1.42762,1.59427,0.000214727,0.000214727,0.000214727
33,337.667,0.80413,0.62609,1.11646,0.85631,0.71348,0.7751,0.46668,1.31714,1.33361,1.60425,0.000203718,0.000203718,0.000203718
34,347.262,0.81384,0.63366,1.11314,0.83877,0.71282,0.75814,0.46165,1.32296,1.43423,1.6065,0.00019271,0.00019271,0.00019271
35,356.942,0.7965,0.60297,1.11193,0.84351,0.71367,0.76887,0.46828,1.3143,1.39765,1.60986,0.000181701,0.000181701,0.000181701
36,366.572,0.80325,0.62282,1.10792,0.84271,0.72551,0.76291,0.46842,1.30446,1.37198,1.58312,0.000170692,0.000170692,0.000170692
37,376.149,0.80668,0.61107,1.10148,0.8503,0.72569,0.75891,0.46518,1.31861,1.45866,1.58971,0.000159683,0.000159683,0.000159683
38,385.741,0.78969,0.60671,1.09373,0.84348,0.72565,0.75729,0.46574,1.31878,1.40335,1.60656,0.000148674,0.000148674,0.000148674
39,395.476,0.80267,0.61054,1.11076,0.85915,0.71069,0.74917,0.46212,1.30813,1.47866,1.59608,0.000137666,0.000137666,0.000137666
40,405.108,0.78031,0.58944,1.08973,0.84304,0.72692,0.76461,0.46709,1.32339,1.41266,1.61396,0.000126657,0.000126657,0.000126657
41,441.309,0.75779,0.52266,1.08391,0.86012,0.70744,0.75813,0.45706,1.32895,1.44276,1.64319,0.000115648,0.000115648,0.000115648
42,450.79,0.71425,0.4809,1.0621,0.83478,0.73847,0.77098,0.467,1.31483,1.42241,1.6289,0.000104639,0.000104639,0.000104639
43,460.181,0.71475,0.4704,1.04541,0.85626,0.71466,0.76593,0.46468,1.32271,1.47686,1.62348,9.36304e-05,9.36304e-05,9.36304e-05
